,문제키값,문제,오픈일자,보기순번,보기정보,정답여부,시험지 id,문제 id,assessmentItemID,testId,KnowledgeTag
38,816,다음 중 '부치다'의 사용이 잘못된 것은?,20151217,4587,편지 (부치러) 우체국에 갔다.,,A080000076,A080076002,A080076002,A080000076,4979
39,816,다음 중 '부치다'의 사용이 잘못된 것은?,20151217,4588,힘이 (부쳐서) 일을 다 하지 못했다.,,A080000076,A080076002,A080076002,A080000076,4979
40,815,다음 중 단어의 쓰임이 적절한 것은?,20151216,4581,우리는 외국과의 교역량을 더 (늘여야) 한다.,,A090000018,A090018005,A090018005,A090000018,972
41,815,다음 중 단어의 쓰임이 적절한 것은?,20151216,4582,이 안건은 다음 회의에 (부치는) 것이 좋겠다.,정답,A090000018,A090018005,A090018005,A090000018,972
42,815,다음 중 단어의 쓰임이 적절한 것은?,20151216,4583,세금이 잘 (거쳐야) 국가의 재정이 튼튼해진다.,,A090000018,A090018005,A090018005,A090000018,972
43,815,다음 중 단어의 쓰임이 적절한 것은?,20151216,4584,같은 조직의 사람들 사이에는 신의가 (두꺼워야) 한다.,,A090000018,A090018005,A090018005,A090000018,972
44,814,다음 중 바른 표현은?,20151215,4577,어둠 속에 달빛이 비추다.,,A080000020,A080020005,A080020005,A080000020,4664
45,814,다음 중 바른 표현은?,20151215,4578,밤을 지새다.,,A080000020,A080020005,A080020005,A080000020,4664
46,814,다음 중 바른 표현은?,20151215,4579,담배를 피우다.,정답,A080000020,A080020005,A080020005,A080000020,4664
47,814,다음 중 바른 표현은?,20151215,4580,신고식을 치루다.,,A080000020,A080020005,A080020005,A080000020,4664
48,813,다음 중 ( )속의 낱말의 쓰임이 바르지 않은 것은?,20151214,4573,그렇게 말하는 그를 보는 동료들은 모두 (아연실색)할 수밖에 없었다.,,A080000036,A080036003,A080036003,A080000036,4684
49,813,다음 중 ( )속의 낱말의 쓰임이 바르지 않은 것은?,20151214,4574,김 대리는 사사건건 박 부장과 (부딪혀) 그 자리에서 더 버티지 못했다.,정답,A080000036,A080036003,A080036003,A080000036,4684
50,813,다음 중 ( )속의 낱말의 쓰임이 바르지 않은 것은?,20151214,4575,바람이 심하고 풍랑이 높은 와중에도 그는 (아랑곳하지) 않고 잠만 잤다.,,A080000036,A080036003,A080036003,A080000036,4684
51,813,다음 중 ( )속의 낱말의 쓰임이 바르지 않은 것은?,20151214,4576,여러 사람의 의견이 엇갈리다 보니 나도 판단하기가 (곤혹스럽기)만 했다.,,A080000036,A080036003,A080036003,A080000036,4684
52,812,다음 중 ( )속 부분이 어법에 맞는 것은?,20151211,4569,쇠뿔에 (받혔다).,정답,A070000109,A070109007,A070109007,A070000109,9592
53,812,다음 중 ( )속 부분이 어법에 맞는 것은?,20151211,4570,옷을 (달인다).,,A070000109,A070109007,A070109007,A070000109,9592
54,812,다음 중 ( )속 부분이 어법에 맞는 것은?,20151211,4571,마차가 화물차에 (부딪쳤다).,,A070000109,A070109007,A070109007,A070000109,9592
55,812,다음 중 ( )속 부분이 어법에 맞는 것은?,20151211,4572,나라를 위해 목숨을 (받쳤다).,,A070000109,A070109007,A070109007,A070000109,9592
56,811,다음 중 ( )속의 표현이 옳지 않은 것은?,20151210,4565,어머니가 아버지의 양복을 (다린다).,,A080000028,A080028005,A080028005,A080000028,4687
57,811,다음 중 ( )속의 표현이 옳지 않은 것은?,20151210,4566,비가 와서 우산을 (받치고) 나갔다.,,A080000028,A080028005,A080028005,A080000028,4687
58,811,다음 중 ( )속의 표현이 옳지 않은 것은?,20151210,4567,약속은 (반드시) 지켜라.,,A080000028,A080028005,A080028005,A080000028,4687
59,811,다음 중 ( )속의 표현이 옳지 않은 것은?,20151210,4568,내가 (하느라고) 한 것이 이 모양이다.,정답,A080000028,A080028005,A080028005,A080000028,4687
60,810,다음 중 ( )속의 띄어쓰기가 틀린 것은?,20151209,4561,그는 (이성적이라기) 보다는 감성적이다.,,A080000042,A080042001,A080042001,A080000042,4795
61,810,다음 중 ( )속의 띄어쓰기가 틀린 것은?,20151209,4562,우리는 그렇게 (할 수밖에) 없었다.,,A080000042,A080042001,A080042001,A080000042,4795
62,810,다음 중 ( )속의 띄어쓰기가 틀린 것은?,20151209,4563,여행할 때 옷을 (한 벌만) 가지고 가는 사람은 무모하다.,,A080000042,A080042001,A080042001,A080000042,4795
63,810,다음 중 ( )속의 띄어쓰기가 틀린 것은?,20151209,4564,그 곳에 가려면 (한 시간내지) 두 시간이 걸린다.,정답,A080000042,A080042001,A080042001,A080000042,4795
64,809,다음 중 ( )속의 띄어쓰기가 틀린 것은?,20151208,4557,(수업 중에) 휴대전화를 받는 것은 예의에 어긋난다.,,A070000146,A070146003,A070146003,A070000146,9080
65,809,다음 중 ( )속의 띄어쓰기가 틀린 것은?,20151208,4558,그가 구입한 물건이 (얼마어치)인지 짐작하기 어렵다.,,A070000146,A070146003,A070146003,A070000146,9080
66,809,다음 중 ( )속의 띄어쓰기가 틀린 것은?,20151208,4559,그 사람은 오직 졸업장을 (따는데) 목적이 있는 듯하다.,정답,A070000146,A070146003,A070146003,A070000146,9080
67,809,다음 중 ( )속의 띄어쓰기가 틀린 것은?,20151208,4560,그는 차를( 살 만한) 형편이 못 된다.,,A070000146,A070146003,A070146003,A070000146,9080
68,808,다음 중 표준어가 아닌 것은?,20151207,4553,끄나풀,,A080000080,A080080007,A080080007,A080000080,10568
69,808,다음 중 표준어가 아닌 것은?,20151207,4554,나발꽃,정답,A080000080,A080080007,A080080007,A080000080,10568
70,808,다음 중 표준어가 아닌 것은?,20151207,4555,부엌,,A080000080,A080080007,A080080007,A080000080,10568
71,808,다음 중 표준어가 아닌 것은?,20151207,4556,분침,,A080000080,A080080007,A080080007,A080000080,10568
72,807,표준어의 제정 원칙이 아닌 것은?,20151204,4549,시대적 조건,,A070000100,A070100007,A070100007,A070000100,8897
73,807,표준어의 제정 원칙이 아닌 것은?,20151204,4550,계층적 조건,,A070000100,A070100007,A070100007,A070000100,8897
74,807,표준어의 제정 원칙이 아닌 것은?,20151204,4551,지역적 조건,,A070000100,A070100007,A070100007,A070000100,8897
75,807,표준어의 제정 원칙이 아닌 것은?,20151204,4552,역사적 조건,정답,A070000100,A070100007,A070100007,A070000100,8897
76,806,다음 표준어를 정하는 원칙의 ( )속에 알맞은 말은? 표준어는 ( )있는 사람들이 두루 쓰는 ( ) ( )말로 정함을 원칙으로 한다.,20151203,4545,교양 현대 서울,정답,A070000105,A070105008,A070105008,A070000105,8880
77,806,다음 표준어를 정하는 원칙의 ( )속에 알맞은 말은? 표준어는 ( )있는 사람들이 두루 쓰는 ( ) ( )말로 정함을 원칙으로 한다.,20151203,4546,품위 현재 중앙,,A070000105,A070105008,A070105008,A070000105,8880
78,806,다음 표준어를 정하는 원칙의 ( )속에 알맞은 말은? 표준어는 ( )있는 사람들이 두루 쓰는 ( ) ( )말로 정함을 원칙으로 한다.,20151203,4547,교양 현대 중앙,,A070000105,A070105008,A070105008,A070000105,8880
79,806,다음 표준어를 정하는 원칙의 ( )속에 알맞은 말은? 표준어는 ( )있는 사람들이 두루 쓰는 ( ) ( )말로 정함을 원칙으로 한다.,20151203,4548,품위 현재 서울,,A070000105,A070105008,A070105008,A070000105,8880
80,805,다음 중 두가지 의미로 해석될 수 있는 것은?,20151202,4541,임금님의 귀가 당나귀의 귀와 비슷하다.,,A070000142,A070142004,A070142004,A070000142,9098
81,805,다음 중 두가지 의미로 해석될 수 있는 것은?,20151202,4542,가을엔 쪽빛 하늘과 황금빛 들판이 맞닿는다.,,A070000142,A070142004,A070142004,A070000142,9098
82,805,다음 중 두가지 의미로 해석될 수 있는 것은?,20151202,4543,나는 눈이 큰 진영이의 언니를 선생님께 소개해 드렸다.,정답,A070000142,A070142004,A070142004,A070000142,9098
83,805,다음 중 두가지 의미로 해석될 수 있는 것은?,20151202,4544,일상 생활에서도 관용적인 표현을 다양하게 사용할 수 있다.,,A070000142,A070142004,A070142004,A070000142,9098
84,804,다음 중 두가지 이상으로 해석될 수 있는 문장은?,20151201,4537,고향의 아름다운 하늘을 생각한다.,,A070000131,A070131006,A070131006,A070000131,9066
85,804,다음 중 두가지 이상으로 해석될 수 있는 문장은?,20151201,4538,정식이는 자기의 차에 영호를 태웠다.,,A070000131,A070131006,A070131006,A070000131,9066
86,804,다음 중 두가지 이상으로 해석될 수 있는 문장은?,20151201,4539,모든 국민은 집회의 자유를 가진다.,,A070000131,A070131006,A070131006,A070000131,9066
87,804,다음 중 두가지 이상으로 해석될 수 있는 문장은?,20151201,4540,초대받은 손님이 모두 오지 않았다.,정답,A070000131,A070131006,A070131006,A070000131,9066
88,803,다음 중 동의 관계에 있는 것끼리 묶은 것은?,20151130,4533,(장미) 한 다발을 선물하였다. : 정원에 있는 (꽃)이 예쁘다.,,A080000015,A080015007,A080015007,A080000015,4672
89,803,다음 중 동의 관계에 있는 것끼리 묶은 것은?,20151130,4534,그녀의 얼굴은 종잇장처럼 (희다). : 햇볕에 살이 타서 피부가 (검다).,,A080000015,A080015007,A080015007,A080000015,4672
90,803,다음 중 동의 관계에 있는 것끼리 묶은 것은?,20151130,4535,(매달) 기부금을 고아원에 보냈다. : 월간지를 (다달이) 구독하였다.,정답,A080000015,A080015007,A080015007,A080000015,4672
91,803,다음 중 동의 관계에 있는 것끼리 묶은 것은?,20151130,4536,(책상 다리)가 심하게 부서졌다. : (개의 다리)는 모두 네 개이다.,,A080000015,A080015007,A080015007,A080000015,4672
92,802,높임법으로 틀린 것은?,20151127,4529,철수야 선생님께서 오라셔.,,A080000027,A080027006,A080027006,A080000027,4686
93,802,높임법으로 틀린 것은?,20151127,4530,교장선생님 말씀이 계시겠습니다.,정답,A080000027,A080027006,A080027006,A080000027,4686
94,802,높임법으로 틀린 것은?,20151127,4531,할머니 귀가 참 밝으십니다.,,A080000027,A080027006,A080027006,A080000027,4686
95,802,높임법으로 틀린 것은?,20151127,4532,아저씨는 살림이 넉넉하시다.,,A080000027,A080027006,A080027006,A080000027,4686
96,801,다음 중 '높임법'을 보여주는 예가 아닌 것은?,20151126,4525,주다/드리다,,A080000066,A080066008,A080066008,A080000066,2869
97,801,다음 중 '높임법'을 보여주는 예가 아닌 것은?,20151126,4526,밥/진지,,A080000066,A080066008,A080066008,A080000066,2869
98,801,다음 중 '높임법'을 보여주는 예가 아닌 것은?,20151126,4527,죽다/숨지다,정답,A080000066,A080066008,A080066008,A080000066,2869
99,801,다음 중 '높임법'을 보여주는 예가 아닌 것은?,20151126,4528,받다/받으시다,,A080000066,A080066008,A080066008,A080000066,2869
100,800,다음 중 객체높임법을 사용한 문장은?,20151125,4521,할머니께서는 아침 진지를 잡수셨다.,,A090000057,A090057002,A090057002,A090000057,2604
101,800,다음 중 객체높임법을 사용한 문장은?,20151125,4522,아버지께서는 어제 밤잠을 푹 주무셨다.,,A090000057,A090057002,A090057002,A090000057,2604
102,800,다음 중 객체높임법을 사용한 문장은?,20151125,4523,우리 나라의 옛 선조들은 사군자를 높이 기리셨다.,,A090000057,A090057002,A090057002,A090000057,2604
103,800,다음 중 객체높임법을 사용한 문장은?,20151125,4524,어제 아버지께서 할머니께 선물을 드리셨다.,정답,A090000057,A090057002,A090057002,A090000057,2604
104,799,객체높임법이 사용된 문장은?,20151124,4517,이 책을 읽으십시오.,,A080000115,A080115004,A080115004,A080000115,2712
105,799,객체높임법이 사용된 문장은?,20151124,4518,학생들이 선생님께 조그만 선물을 드린다.,정답,A080000115,A080115004,A080115004,A080000115,2712
106,799,객체높임법이 사용된 문장은?,20151124,4519,임금님이시여 부디 만수무강하소서.,,A080000115,A080115004,A080115004,A080000115,2712
107,799,객체높임법이 사용된 문장은?,20151124,4520,아버지께서 안방에 들어가신다.,,A080000115,A080115004,A080115004,A080000115,2712
108,798,다음 중 행위의 주체를 높이는 표현법이 아닌 문장은?,20151123,4513,할머니께서 (진지)를 드신다.,,A090000022,A090022003,A090022003,A090000022,9811
109,798,다음 중 행위의 주체를 높이는 표현법이 아닌 문장은?,20151123,4514,나는 어머니께 과일을 (드렸다).,정답,A090000022,A090022003,A090022003,A090000022,9811
110,798,다음 중 행위의 주체를 높이는 표현법이 아닌 문장은?,20151123,4515,할아버지께서 병원에 (다녀오셨다).,,A090000022,A090022003,A090022003,A090000022,9811
111,798,다음 중 행위의 주체를 높이는 표현법이 아닌 문장은?,20151123,4516,(선생님께서) 부모님께 가정 통신문을 발송하였다.,,A090000022,A090022003,A090022003,A090000022,9811
112,797,말하는 이와 듣는 이의 지위에 따른 단어의 쓰임이 바른 문장은?,20151120,4509,할아버지 어머니께서 밥 드시래요.,,A080000033,A080033005,A080033005,A080000033,4784
113,797,말하는 이와 듣는 이의 지위에 따른 단어의 쓰임이 바른 문장은?,20151120,4510,참 오랜만이네 자네 선친께서는 편안하신가?,,A080000033,A080033005,A080033005,A080000033,4784
114,797,말하는 이와 듣는 이의 지위에 따른 단어의 쓰임이 바른 문장은?,20151120,4511,선생님께서 누추한 우리 집을 몸소 찾아 주셨다.,정답,A080000033,A080033005,A080033005,A080000033,4784
115,797,말하는 이와 듣는 이의 지위에 따른 단어의 쓰임이 바른 문장은?,20151120,4512,선생님 저를 가르치시느라 대단히 수고하셨습니다.,,A080000033,A080033005,A080033005,A080000033,4784
116,796,다음 중 음운첨가 현상이 아닌 것은?,20151119,4505,머리카락,,A010000172,A010172008,A010172008,A010000172,7810
117,796,다음 중 음운첨가 현상이 아닌 것은?,20151119,4506,좁쌀,,A010000172,A010172008,A010172008,A010000172,7810
118,796,다음 중 음운첨가 현상이 아닌 것은?,20151119,4507,연못가,정답,A010000172,A010172008,A010172008,A010000172,7810
119,796,다음 중 음운첨가 현상이 아닌 것은?,20151119,4508,촛불,,A010000172,A010172008,A010172008,A010000172,7810
120,795,다음 중 ( ) 속의 말을 축약이 일어나기 전의 상태로 쓴 것 중 틀린 것은?,20151118,4501,하늘이 맑게 (갰구나). --> 개었구나,,A070000100,A070100006,A070100006,A070000100,7259
121,795,다음 중 ( ) 속의 말을 축약이 일어나기 전의 상태로 쓴 것 중 틀린 것은?,20151118,4502,범인이 경찰에게 (잡혔다). --> 잡히였다,정답,A070000100,A070100006,A070100006,A070000100,7259
122,795,다음 중 ( ) 속의 말을 축약이 일어나기 전의 상태로 쓴 것 중 틀린 것은?,20151118,4503,여기 붙여둔 그림을 누가 (뗏나)? --> 떼었나,,A070000100,A070100006,A070100006,A070000100,7259
123,795,다음 중 ( ) 속의 말을 축약이 일어나기 전의 상태로 쓴 것 중 틀린 것은?,20151118,4504,선반에 물건이 많이 (얹혀) 있다. --> 얹히어,,A070000100,A070100006,A070100006,A070000100,7259
124,794,다음 중 모음조화가 제대로 지켜지지 않은 단어는?,20151117,4497,고와,,A080000113,A080113003,A080113003,A080000113,1200
125,794,다음 중 모음조화가 제대로 지켜지지 않은 단어는?,20151117,4498,서러워,,A080000113,A080113003,A080113003,A080000113,1200
126,794,다음 중 모음조화가 제대로 지켜지지 않은 단어는?,20151117,4499,놀라워,정답,A080000113,A080113003,A080113003,A080000113,1200
127,794,다음 중 모음조화가 제대로 지켜지지 않은 단어는?,20151117,4500,한스러워,,A080000113,A080113003,A080113003,A080000113,1200
128,793,다음 중 ( )속의 발음이 틀린 것은?,20151116,4493,자넨 참 (늙지)도 않네그려. --> 늑찌,,A080000101,A080101004,A080101004,A080000101,7170
129,793,다음 중 ( )속의 발음이 틀린 것은?,20151116,4494,세계는 (넓고) 할 일은 많다. --> 널꼬,,A080000101,A080101004,A080101004,A080000101,7170
130,793,다음 중 ( )속의 발음이 틀린 것은?,20151116,4495,새로 산 신발이 (닳지)도 않는구나. --> 달찌,정답,A080000101,A080101004,A080101004,A080000101,7170
131,793,다음 중 ( )속의 발음이 틀린 것은?,20151116,4496,쓸쓸한 웃음을 (웃다). --> 젪따,,A080000101,A080101004,A080101004,A080000101,7170
132,792,다음 중 ( )속의 발음이 틀린 것은?,20151113,4489,밝다(박따),,A090000019,A090019003,A090019003,A090000019,972
133,792,다음 중 ( )속의 발음이 틀린 것은?,20151113,4490,읽고(익꼬),정답,A090000019,A090019003,A090019003,A090000019,972
134,792,다음 중 ( )속의 발음이 틀린 것은?,20151113,4491,긁다(극따),,A090000019,A090019003,A090019003,A090000019,972
135,792,다음 중 ( )속의 발음이 틀린 것은?,20151113,4492,늙지(늑찌),,A090000019,A090019003,A090019003,A090000019,972
136,791,다음 외래어 일본식 표현 등을 쉬운 우리말식 표기로 고쳐 쓸 때 잘못 고쳐진 것은?,20151112,4485,한강 (고수부지)의 개발로 시민들은 여러 가지 체육 시설을 이용할 수 있게 되었다. --> 둔치,,A070000134,A070134007,A070134007,A070000134,9070
137,791,다음 외래어 일본식 표현 등을 쉬운 우리말식 표기로 고쳐 쓸 때 잘못 고쳐진 것은?,20151112,4486,오래된 (나대지)에서는 종종 유물이 발굴되었다. --> 빈 집터,,A070000134,A070134007,A070134007,A070000134,9070
138,791,다음 외래어 일본식 표현 등을 쉬운 우리말식 표기로 고쳐 쓸 때 잘못 고쳐진 것은?,20151112,4487,많은 차들이 (인터체인지)로 진입하고 있다. --> 나들목,,A070000134,A070134007,A070134007,A070000134,9070
139,791,다음 외래어 일본식 표현 등을 쉬운 우리말식 표기로 고쳐 쓸 때 잘못 고쳐진 것은?,20151112,4488,실패할 수밖에 없는 일인 걸 알면서도 (무뎃뽀로) 계속 도전한다. --> 무식하게,정답,A070000134,A070134007,A070134007,A070000134,9070
140,790,다음 일본어투를 우리말로 순화할 때 적절하지 않은 것은?,20151111,4481,3년간의 (견습)기간을 성공적으로 마치면 정식 직원으로 채용한다. --> 수습,,A080000108,A080108007,A080108007,A080000108,1184
141,790,다음 일본어투를 우리말로 순화할 때 적절하지 않은 것은?,20151111,4482,시간이 변경되었음을 (고지)합니다. --> 알림,,A080000108,A080108007,A080108007,A080000108,1184
142,790,다음 일본어투를 우리말로 순화할 때 적절하지 않은 것은?,20151111,4483,연말이 되면 (망년회) 때문에 거리에서 만취하여 자다가 돌연사하는 사람이 늘고 있다. --> 송년회,,A080000108,A080108007,A080108007,A080000108,1184
143,790,다음 일본어투를 우리말로 순화할 때 적절하지 않은 것은?,20151111,4484,그는 어른이 되어서는 (사시미)를 좋아하지 않았다. --> 회칼,정답,A080000108,A080108007,A080108007,A080000108,1184
144,789,( )속의 말이 표준어인 것은?,20151110,4477,경호는 (우레)같은 박수 소리를 듣고 기분이 좋았다.,정답,A070000142,A070142007,A070142007,A070000142,9099
145,789,( )속의 말이 표준어인 것은?,20151110,4478,성민이는 설 명절 때면 (으례) 외할아버지를 찾아뵙곤 했다.,,A070000142,A070142007,A070142007,A070000142,9099
146,789,( )속의 말이 표준어인 것은?,20151110,4479,한철이는 성격이 하도 (괴퍅)해서 따르는 사람이 없다.,,A070000142,A070142007,A070142007,A070000142,9099
147,789,( )속의 말이 표준어인 것은?,20151110,4480,자에 아이 (첫돐)이 4월 중순쯤 되지?,,A070000142,A070142007,A070142007,A070000142,9099
148,788,( )속의 말이 표준어인 것은?,20151109,4473,다음 보기 중 (알맞는) 것을 고르시오.,,A070000150,A070150003,A070150003,A070000150,7863
149,788,( )속의 말이 표준어인 것은?,20151109,4474,그 학생은 예의가 (발랐다).,정답,A070000150,A070150003,A070150003,A070000150,7863
150,788,( )속의 말이 표준어인 것은?,20151109,4475,시험을 (치루고) 나니 허탈했다.,,A070000150,A070150003,A070150003,A070000150,7863
151,788,( )속의 말이 표준어인 것은?,20151109,4476,이제 막 (먹을려고) 했다.,,A070000150,A070150003,A070150003,A070000150,7863
152,787,다음 중 표준어가 아닌 것은?,20151106,4469,웃목,정답,A080000009,A080009006,A080009006,A080000009,4659
153,787,다음 중 표준어가 아닌 것은?,20151106,4470,구절,,A080000009,A080009006,A080009006,A080000009,4659
154,787,다음 중 표준어가 아닌 것은?,20151106,4471,으레,,A080000009,A080009006,A080009006,A080000009,4659
155,787,다음 중 표준어가 아닌 것은?,20151106,4472,상추,,A080000009,A080009006,A080009006,A080000009,4659
156,786,다음 중 표준어 표기가 틀린 것은?,20151105,4465,깍두기,,A080000111,A080111003,A080111003,A080000111,2719
157,786,다음 중 표준어 표기가 틀린 것은?,20151105,4466,오뚜기,정답,A080000111,A080111003,A080111003,A080000111,2719
158,786,다음 중 표준어 표기가 틀린 것은?,20151105,4467,뻐꾸기,,A080000111,A080111003,A080111003,A080000111,2719
159,786,다음 중 표준어 표기가 틀린 것은?,20151105,4468,거꾸로,,A080000111,A080111003,A080111003,A080000111,2719
160,785,다음 중 ( )속의 말이 어법에 맞게 표기된 것은?,20151104,4461,박 사장은 자기 돈이 어떻게 (쓰여지는 지)도 몰랐다.,,A090000003,A090003005,A090003005,A090000003,4709
161,785,다음 중 ( )속의 말이 어법에 맞게 표기된 것은?,20151104,4462,그녀는 조금만 (추어올리면) 기고만장해진다.,정답,A090000003,A090003005,A090003005,A090000003,4709
162,785,다음 중 ( )속의 말이 어법에 맞게 표기된 것은?,20151104,4463,(나룻터)는 이미 사람들로 가득 차 있었다.,,A090000003,A090003005,A090003005,A090000003,4709
163,785,다음 중 ( )속의 말이 어법에 맞게 표기된 것은?,20151104,4464,우리들은 (서슴치) 않고 차에 올랐다.,,A090000003,A090003005,A090003005,A090000003,4709
